架次,机型,服务区,历时s,实体机,电池,起飞s,返回s
T01,B,S010,1555.4,U06,BB01,1820.0,3375.4
T02,B,S002,1820.0,U06,BB02,0.0,1820.0
T03,C,S001,1560.2,U08,BC04,1626.3,3186.5
T04,C,S001,1626.2,U08,BC03,0.1,1626.3
T05,A,S013,1602.7,U04,BA06,2196.2,3798.9
T06,B,S014,1845.7,U05,BB04,0.0,1845.7
T07,A,S006,1316.9,U03,BA06,0.0,1316.9
T08,C,S002,2045.9,U07,BC02,1433.7,3479.6
T09,B,S012,1943.0,U05,BB03,1845.7,3788.7
T10,B,S013,1381.0,U06,BB04,3435.7,4816.7
T11,A,S008,2163.3,U02,BA04,1652.5,3815.8
T12,C,S006,1433.7,U07,BC01,0.0,1433.7
T13,B,S003,2080.5,U05,BB02,3788.7,5869.2
T14,C,S004,2301.1,U08,BC04,5244.6,7545.7
T15,C,S003,2370.1,U07,BC03,3479.6,5849.7
T16,B,S011,1188.4,U06,BB03,6660.4,7848.8
T17,C,S008,2058.1,U08,BC01,3186.5,5244.6
T18,C,S005,1877.2,U07,BC02,5862.9,7740.1
T19,B,S015,1828.3,U06,BB01,4832.1,6660.4
T20,B,S009,1558.4,U05,BB04,6138.7,7697.1
T21,A,S007,1652.5,U02,BA03,0.0,1652.5
T22,A,S007,1712.5,U01,BA02,1712.5,3425.0
T23,A,S007,1712.5,U01,BA01,0.0,1712.5
